imdb_id;production_countries
tt0114709;US
tt0113497;US
tt0113228;US
tt0114885;US
tt0113041;US
tt0113277;US
tt0114319;DE,US
tt0112302;US
tt0114576;US
tt0113189;GB,US
tt0112346;US
tt0112896;FR,US
tt0112453;US
tt0113987;US
tt0112760;FR,DE,IT,US
tt0112641;FR,US
tt0114388;GB,US
tt0113101;US
tt0112281;US
tt0113845;US
tt0113161;US
tt0112722;US
tt0112401;FR,US
tt0114168;US
tt0113627;US
tt0114057;IT
tt0114011;US
tt0114117;GB,FR
tt0112682;FR,DE,ES
tt0115012;CN,FR
tt0112792;US
tt0114746;US
tt0114952;FR,US
tt0112431;AU,US
tt0112637;FR,GB
tt0112818;US,GB
tt0112286;US
tt0113442;US
tt0112697;US
tt0112749;ZA
tt0114279;GB,US
tt0112819;US
tt0114272;US
tt0113855;US
tt0114681;US
tt0113347;US
tt0114369;US
tt0114148;US
tt0114916;CA
tt0114814;US
tt0113819;US
tt0110299;IT,FR,CH
tt0112499;US
tt0113158;FR,US
tt0113321;US
tt0110877;BE,FR,IT
tt0112714;CA
tt0113419;US
tt0116260;US
tt0113862;US
tt0116126;US
tt0118002;US
tt0115683;US
tt0116839;US
tt0114753;US
tt0113149;FR
tt0113118;US
tt0116367;US
tt0113010;US
tt0113537;US
tt0113828;FR
tt0115644;US
tt0115676;US
tt0114367;CA,JP,US
tt0113973;DE,US
tt0112744;US
tt0116731;US
tt0112445;IR
tt0114660;US
tt0112379;NL,GB,BE
tt0114039;US
tt0112365;GB,US
tt0118158;US
tt0116151;US
tt0115697;US
tt0113972;US
tt0113490;US
tt0117002;US
tt0114825;US
tt0115639;US
tt0115759;US
tt0113403;GB
tt0113247;FR
tt0111173;GB
tt0113283;GB,CA,US,DE
tt0115907;US
tt0115734;US
tt0117102;US
tt0118040;US
tt0116483;US
tt0112579;US
tt0110251;DE
tt0117110;US
tt0112573;US
tt0075314;US
tt0113326;HK
tt0115645;US
tt0113774;CA,GB
tt0112556;FR
tt0112373;GB,US,NL
tt0115033;DE,FR,GB
tt0116606;US
tt0114536;US
tt0117427;US
tt0106473;CA
tt0103859;US
tt0109424;HK
tt0114808;IT
tt0116324;US
tt0110647;DE,US
tt0111055;TN,FR
tt0112364;US
tt0113107;GB,US,FR,IE
tt0113451;US
tt0114015;DO
tt0114500;US
tt0116130;US
tt0113125;US
tt0113756;US
tt0113952;GB
tt0118055;US
tt0115685;US
tt0113200;HR,CA,US
tt0112585;US
tt0112442;US
tt0112342;US
tt0112461;US
tt0112427;GB
tt0109093;FR,GB,US
tt0112384;US
tt0114287;GB,US
tt0112288;US
tt0112462;GB,US
tt0061395;FR,IT
tt0112541;US
tt0109370;CA,US
tt0112642;US
tt0112688;US
tt0112715;US
tt0112740;US
tt0109508;US
tt0112851;US
tt0112857;US
tt0112864;US
tt0112887;FR,US
tt0113071;US
tt0113114;FR,US
tt0113243;US
tt0113464;US
tt0113481;CA,US
tt0113492;US
tt0113500;US
tt0113540;US
tt0113677;US
tt0113690;US
tt0107447;CA
tt0113729;US
tt0113749;US
tt0113820;JP,US
tt0113851;GB,US
tt0110604;DE,RU,GB,US
tt0110620;US
tt0113957;US
tt0113986;US
tt0114095;US
tt0114194;US
tt0114241;US
tt0114323;GB,US
tt0114345;US
tt0114436;FR,US
tt0114478;DE,JP,US
tt0114496;US
tt0114508;US
tt0114534;US
tt0114558;US
tt0058450;DE,FR
tt0114666;US
tt0114663;US
tt0114702;FR,BE,GB
tt0114682;US
tt0114781;US
tt0114805;US
tt0114887;US
tt0114898;US
tt0114928;FR,US
tt0109340;GB
tt0112602;US
tt0111579;FR,RU
tt0110882;GB,MK,FR
tt0112471;AT,CH,US
tt0112508;US
tt0112438;US
tt0112571;FR,US
tt0112757;US
tt0112643;US
tt0112679;IE,GB
tt0109445;US
tt0112883;US
tt0109635;US
tt0112899;US,CA
tt0109676;US
tt0112854;US
tt0109579;US,FR,GB
tt0109642;US
tt0109686;US
tt0111797;TW,US
tt0109759;CA
tt0109758;US
tt0109707;US
tt0113117;GB,US
tt0113097;US
tt0113028;US
tt0113198;US
tt0113303;US
tt0113089;US
tt0109771;BE,FR,IT
tt0113199;US
tt0109906;US,FR
tt0110057;US
tt0110005;NZ
tt0110116;US
tt0110006;US
tt0113360;US
tt0110099;US
tt0110148;US
tt0113463;US
tt0110189;US
tt0110216;US
tt0113501;US
tt0113552;US
tt0076759;US
tt0110367;US
tt0113670;US
tt0110296;GB
tt0109731;FR
tt0103994;MX
tt0110322;US
tt0110443;US
tt0110365;US
tt0107566;US
tt0110391;US
tt0113691;US
tt0110428;GB
tt0109836;GB,JP,US
tt0110538;US
tt0110516;US
tt0110527;US
tt0113808;US
tt0113896;US
tt0113870;FR,US
tt0110684;US
tt0110638;US
tt0113967;US
tt0117169;JP,US
tt0106402;GB
tt0113948;US
tt0110632;US
tt0110737;US
tt0110729;NZ
tt0114151;US
tt0114069;US
tt0110413;FR,US
tt0114113;US
tt0114210;US
tt0110912;US
tt0114084;GB,US
tt0105652;TW
tt0110889;GB
tt0110932;US
tt0114129;JP,US
tt0110963;FR,DE,IT
tt0114214;JP,US
tt0114296;US
tt0110907;US
tt0111495;FR,PL,CH
tt0108394;FR,PL
